Designator,Mid X,Mid Y,Rotation,Layer
AE1,107.4,-49.995,0.0,top
AE2,91.5725,-68.125,90.0,top
C1,103.45,-60.7,0.0,top
C10,109.45,-73.85,180.0,top
C11,104.0,-65.95,0.0,top
C12,119.3,-73.85,90.0,top
C13,109.75,-63.5,90.0,top
C14,117.45,-73.85,270.0,top
C15,119.2,-83.35,90.0,top
C16,117.4,-83.35,270.0,top
C17,111.3,-63.5,90.0,top
C18,104.021815,-85.986395,270.0,top
C19,112.85,-63.5,90.0,top
C2,104.2,-62.95,270.0,top
C20,107.471815,-85.986395,270.0,top
C21,100.85,-69.1,180.0,top
C22,100.85,-70.6,0.0,top
C23,100.85,-73.65,180.0,top
C24,114.4,-63.5,270.0,top
C25,113.821815,-82.836395,90.0,top
C26,107.471815,-82.886395,90.0,top
C3,99.3,-67.5,0.0,top
C4,109.45,-78.5,0.0,top
C5,105.75,-63.65,90.0,top
C6,105.1,-73.95,90.0,top
C7,103.55,-73.95,90.0,top
C8,109.45,-75.4,0.0,top
C9,108.0,-59.15,270.0,top
FID1,94.15,-96.15,0.0,top
FID2,128.15,-96.15,0.0,top
FID3,126.15,-52.15,0.0,top
J1,133.68,-76.07,0.0,top
J2,122.68,-56.85,90.0,top
L1,102.7,-62.95,90.0,top
L4,109.45,-76.95,0.0,top
L7,105.771815,-85.986395,270.0,top
L8,100.85,-72.1,180.0,top
L9,110.771815,-81.686395,180.0,top
R1,123.15,-76.95,0.0,top
R2,123.15,-75.4,0.0,top
R3,123.15,-73.85,0.0,top
R4,113.55,-76.95,0.0,top
R5,113.55,-75.4,0.0,top
R6,113.55,-73.85,0.0,top
R7,111.3,-60.45,270.0,top
R8,109.0,-88.25,0.0,top
R9,112.05,-88.25,0.0,top
U1,118.4,-69.0,180.0,top
U2,109.05,-68.95,0.0,top
U3,118.35,-78.6,180.0,top
U4,110.6875,-84.899999,180.0,top
Y1,104.3,-70.85,90.0,top
